# Time [s]	Stress [Pa]	Strain
0.000000e+00	2.526253e+04	1.104108e-04
1.600000e-01	7.848379e+06	3.002342e-04
3.200000e-01	1.492816e+07	8.032886e-04
4.800000e-01	2.209728e+07	1.194004e-03
6.400000e-01	2.988082e+07	1.653946e-03
8.000000e-01	3.614636e+07	2.134351e-03
9.600000e-01	3.688153e+07	2.398131e-03
1.120000e+00	3.578532e+07	2.750973e-03
1.280000e+00	3.631633e+07	3.381902e-03
1.440000e+00	3.631424e+07	3.714791e-03
1.600000e+00	3.620296e+07	4.175892e-03
1.760000e+00	3.529741e+07	4.573592e-03
1.920000e+00	3.500948e+07	4.931563e-03
2.080000e+00	3.483215e+07	5.319108e-03
2.240000e+00	3.521441e+07	5.829420e-03
# Creation : Jeudi 3 novembre 2011, 23:09:59
