# Time [s]	Stress [Pa]	Strain
0.000000e+00	5.315661e+05	2.155138e-05
1.700000e-01	6.976116e+06	3.964275e-04
3.400000e-01	1.306114e+07	8.451110e-04
5.100000e-01	1.972586e+07	1.313359e-03
6.800000e-01	2.524293e+07	1.732152e-03
8.500000e-01	2.851699e+07	2.186143e-03
1.020000e+00	2.971409e+07	2.525773e-03
1.190000e+00	3.042608e+07	2.966888e-03
1.360000e+00	3.099423e+07	3.436645e-03
1.530000e+00	3.165001e+07	4.015925e-03
1.700000e+00	3.159574e+07	4.324997e-03
1.870000e+00	3.223307e+07	4.683683e-03
2.040000e+00	3.355949e+07	5.223731e-03
2.210000e+00	3.337272e+07	5.740702e-03
# Creation : Jeudi 3 novembre 2011, 23:09:57
