# Time [s]	Stress [Pa]	Strain
0.000000e+00	5.612818e+05	6.104962e-05
2.200000e-01	9.132803e+06	6.234835e-04
4.400000e-01	1.915406e+07	1.235278e-03
6.600000e-01	2.877782e+07	1.701458e-03
8.800000e-01	3.208721e+07	2.265289e-03
1.100000e+00	3.198180e+07	2.781515e-03
1.320000e+00	3.297841e+07	3.388821e-03
1.540000e+00	3.329092e+07	3.997298e-03
1.760000e+00	3.252144e+07	4.475436e-03
1.980000e+00	3.325878e+07	5.189869e-03
2.200000e+00	3.387704e+07	5.760571e-03
# Creation : Jeudi 3 novembre 2011, 23:09:58
