# Time [s]	Stress [Pa]	Strain
0.000000e+00	3.321566e+05	4.340203e-05
1.700000e-01	6.013489e+06	3.299359e-04
3.400000e-01	1.154852e+07	9.718301e-04
5.100000e-01	1.710066e+07	1.328353e-03
6.800000e-01	2.265946e+07	1.854428e-03
8.500000e-01	2.875566e+07	2.224948e-03
1.020000e+00	3.154837e+07	2.622302e-03
1.190000e+00	3.262366e+07	3.047014e-03
1.360000e+00	3.175871e+07	3.466145e-03
1.530000e+00	3.336673e+07	4.022022e-03
1.700000e+00	3.271517e+07	4.273263e-03
1.870000e+00	3.275063e+07	4.913872e-03
2.040000e+00	3.448111e+07	5.250066e-03
2.210000e+00	3.460045e+07	5.666204e-03
# Creation : Jeudi 3 novembre 2011, 23:09:24
